HHID,AvgTRIPDIST,AvgTRIPSPD,AvgTRIPDUR(S)
116509,2.77,23.29,407.48
116510,20.75,44.50,1449.74
116533,6.29,26.86,727.57
116560,7.52,22.18,1236.12
116581,5.11,23.64,683.50
116593,4.92,26.51,648.96
116608,10.39,35.56,924.52
116611,3.37,18.25,587.72
116615,5.28,29.30,617.85
116621,8.99,31.35,877.38
116627,8.99,30.52,840.63
116633,3.11,17.52,639.00
116639,2.91,21.56,384.12
116657,9.01,27.90,810.95
116658,19.06,39.91,1671.44
116663,12.97,35.03,1231.71
116669,8.22,31.32,849.33
116687,13.24,29.84,1373.60
116695,6.34,26.93,766.83
116700,2.64,18.76,417.91
116701,3.38,27.12,419.27
116711,3.32,17.30,635.31
116728,4.68,25.36,545.54
116745,5.77,24.71,806.93
116750,2.70,23.96,373.26
116776,3.14,24.17,467.00
116787,4.46,21.80,716.23
116806,3.03,18.36,613.22
116810,1.59,25.29,226.00
116825,6.70,29.54,706.96
116826,2.35,19.43,406.27
116847,6.37,23.70,898.80
116858,4.91,26.99,637.16
116866,7.92,30.37,859.00
116883,5.92,24.38,679.62
116902,4.73,25.48,575.77
116910,3.96,20.55,638.65
116922,16.64,36.55,1569.33
116938,5.10,25.82,678.67
116945,3.25,21.87,449.44
116970,4.60,26.46,591.89
116986,5.54,22.31,736.33
116990,8.50,28.86,963.79
117017,10.31,33.16,1046.72
117037,3.14,20.11,551.71
117050,4.82,23.46,594.31
117062,8.38,30.40,913.67
117072,2.90,16.37,619.46
117080,5.40,23.88,668.80
117108,6.21,28.58,613.89
117135,12.65,27.91,1141.70
117142,2.72,18.71,520.50
117143,10.87,28.14,1106.17
117151,1.16,14.95,305.28
117153,4.81,22.62,688.78
117154,4.87,25.98,635.09
117162,9.10,27.73,935.78
117163,21.45,41.16,1376.17
117164,3.02,19.59,493.18
117173,5.69,24.22,727.52
117182,2.55,18.10,507.00
117194,6.12,24.90,750.95
117200,4.52,20.99,833.21
117238,4.01,20.15,708.63
117243,13.28,28.98,1063.65
117261,10.95,29.04,1246.44
117320,8.24,26.35,948.74
117358,1.17,22.37,188.00
117372,3.45,21.03,541.88
117381,10.66,26.20,1019.18
117393,6.60,23.15,725.20
117394,3.63,24.42,478.50
117398,5.41,22.23,809.13
117406,5.87,14.25,1486.43
117407,9.59,29.21,999.50
117408,4.88,27.79,552.67
117437,13.20,33.94,1127.17
117439,4.99,17.13,948.83
117441,7.23,28.46,883.00
117451,9.82,27.69,1170.80
117470,3.08,19.34,671.23
117503,15.77,32.17,1840.67
117507,2.49,17.59,456.54
117513,6.04,26.21,789.38
117531,6.34,20.91,915.61
117546,6.55,31.66,735.75
117555,7.96,25.56,1049.88
117559,4.07,25.07,526.24
117563,10.70,30.64,1168.62
117567,1.55,14.69,364.11
117576,11.46,30.94,1196.38
117578,14.48,33.75,1227.30
117581,4.29,18.47,877.17
117587,10.45,28.71,1118.78
117593,4.13,23.99,564.57
117594,8.77,26.84,950.20
117599,8.42,33.62,773.16
117601,11.46,30.86,1324.14
117605,4.75,19.41,728.18
117612,5.40,26.68,599.05
117617,4.69,27.40,609.33
117619,10.22,23.18,1242.28
117621,5.09,18.31,1012.00
117623,3.87,22.75,588.75
117626,7.69,28.80,895.52
117628,4.74,22.23,498.61
117631,6.52,23.58,897.82
117651,16.26,31.93,1362.34
117677,2.95,21.79,369.76
117710,2.93,22.87,467.33
117712,4.56,25.67,626.43
117729,12.95,34.73,1313.90
117732,3.28,20.49,588.47
117750,6.69,23.58,749.15
117762,3.12,21.74,402.87
117764,6.17,28.98,642.10
117768,3.90,22.26,585.87
117770,9.89,25.44,1246.50
117783,2.01,17.18,380.70
117794,6.45,28.09,621.86
117798,16.24,32.45,1248.75
117819,7.16,29.55,792.10
117823,13.44,34.85,1279.21
117829,5.57,13.92,1439.00
117850,0.94,14.88,224.30
117862,4.75,27.58,611.04
117867,11.53,33.68,1131.73
117879,7.81,39.18,684.00
117880,6.79,26.61,886.77
117888,4.44,23.21,605.56
117890,8.04,26.31,988.88
117898,2.44,19.50,470.67
117899,4.65,20.90,733.64
117903,4.72,21.25,742.00
117905,4.73,20.53,768.59
117911,5.02,25.52,670.36
117918,7.30,27.68,849.34
117920,5.34,21.73,806.17
117926,5.14,26.83,662.38
117930,4.71,19.36,631.50
117941,3.46,24.95,445.00
117961,5.04,23.06,662.02
117963,6.11,26.34,647.05
117966,6.32,20.79,942.25
117967,6.83,23.02,875.17
117982,15.82,39.64,1376.41
117986,4.52,22.73,563.10
118004,11.07,32.34,921.29
118005,2.54,21.48,414.93
118019,5.92,23.16,704.39
118025,4.89,23.94,723.54
118027,6.95,31.48,675.89
118028,9.88,29.22,1259.09
118032,6.15,24.14,697.89
118044,14.74,32.76,1568.67
118049,3.73,21.69,628.36
118051,7.32,25.61,952.67
118054,10.29,35.54,985.95
118059,7.24,27.21,725.43
118066,0.69,16.67,153.89
118074,4.99,24.89,641.22
118083,12.65,34.25,1163.13
118086,9.72,36.57,963.67
118093,3.24,21.26,555.22
118106,5.82,25.86,752.82
118110,13.47,34.90,1111.08
118112,5.28,22.08,727.31
118122,12.13,27.74,1134.32
118124,9.48,36.73,1028.25
118131,3.73,22.94,651.11
118132,4.23,21.34,682.80
118139,4.34,25.30,627.78
118140,19.14,38.85,1812.75
118147,8.06,27.29,1046.07
118148,4.12,19.43,728.00
118153,6.04,25.67,692.50
118164,3.37,20.18,501.33
118172,2.90,23.12,411.69
118179,5.24,25.43,687.44
118181,5.30,26.05,578.08
118190,4.88,28.84,590.00
118195,5.16,24.25,957.50
118198,5.38,24.65,686.81
118199,6.96,24.21,878.27
118200,13.45,29.17,1458.15
118206,1.64,16.78,334.43
118210,6.02,26.70,698.95
118215,4.90,27.93,566.10
118231,4.13,26.83,510.72
118235,6.22,25.70,688.44
118239,4.70,21.18,547.75
118254,10.30,27.94,1166.36
118264,14.20,25.98,1897.13
118266,6.34,26.63,821.62
118268,3.07,18.37,410.38
118276,4.56,21.97,683.55
118284,3.61,23.30,455.46
118300,7.20,25.71,765.95
118375,5.94,22.87,832.65
118408,8.55,28.55,1256.38
118420,5.62,25.70,747.67
118424,5.53,25.02,679.37
118425,3.11,15.34,780.75
118426,17.24,29.70,1483.18
118442,4.69,22.39,559.53
118474,3.36,21.25,545.28
118483,1.46,21.56,243.00
118506,4.34,24.04,600.43
118509,10.32,34.01,924.43
118510,6.88,27.53,692.17
118530,2.75,21.88,416.33
118571,9.30,40.10,818.50
118644,0.34,9.26,131.00
118731,6.21,26.15,831.23
118737,5.27,27.05,613.82
118741,2.68,20.07,409.33
118746,4.36,25.11,574.20
118751,10.28,26.57,850.57
118759,5.94,22.96,886.56
118824,18.54,34.41,1617.50
118831,4.31,24.09,570.33
118840,20.16,29.06,1539.94
118850,4.63,21.26,547.27
118857,7.08,29.60,742.71
118859,2.84,20.56,478.06
118861,6.02,21.39,770.69
118884,8.05,27.54,934.06
118898,5.29,27.11,586.95
118899,1.67,15.33,364.38
118905,9.33,30.20,966.31
118911,5.53,29.05,624.61
118915,8.13,28.28,961.60
118925,11.07,28.27,1148.27
118935,8.23,25.38,1029.94
118946,6.01,22.72,702.36
118970,15.54,40.54,1216.90
118985,6.56,26.21,876.39
118996,3.32,18.00,603.19
119008,9.77,31.13,996.32
119012,9.12,27.49,1167.18
119026,4.41,21.09,706.41
119029,9.53,32.88,875.70
119066,3.59,17.12,719.50
119067,11.55,23.78,1749.33
119068,1.65,17.68,346.50
119070,3.54,18.36,662.29
119075,14.27,28.80,1269.03
119081,9.84,32.73,915.33
119082,5.02,28.19,557.40
119086,4.38,21.00,712.00
119095,7.46,24.19,1055.75
119099,7.27,35.18,716.90
119102,5.63,26.18,680.83
119103,12.67,32.93,1418.57
119133,7.64,37.03,654.25
119143,2.62,22.79,424.95
119152,3.87,21.47,558.40
119154,3.08,21.05,461.71
119155,7.75,28.30,866.33
119156,19.99,26.48,1538.93
119174,6.84,15.89,1644.57
119176,5.91,27.51,638.67
119178,4.56,25.55,612.20
119198,3.73,19.76,588.44
119205,2.20,22.09,331.05
119220,6.05,25.30,747.27
119240,3.17,20.23,541.41
119241,4.35,25.43,588.64
119245,4.75,21.85,683.65
119248,1.80,17.39,336.00
119254,9.32,30.52,850.47
119279,4.78,26.76,534.00
119302,2.73,17.70,562.10
119308,5.61,24.99,667.75
119313,4.47,26.84,561.53
119315,6.77,27.17,762.22
119340,0.71,5.90,431.00
119355,4.32,25.27,564.68
119401,6.51,25.95,828.25
119423,6.39,27.57,809.80
119424,5.11,29.99,553.88
119432,6.67,27.13,850.07
119442,5.07,25.18,642.76
119461,11.70,29.11,1343.61
119492,8.60,23.74,1113.07
119494,3.92,21.14,663.75
119495,4.75,30.84,510.81
119497,17.07,25.14,1381.38
119500,6.75,27.10,609.33
119504,2.49,18.75,425.03
119512,4.34,22.00,636.04
119533,8.23,27.50,1029.38
119534,11.50,29.86,1193.87
119536,3.48,22.80,464.24
119546,28.68,38.11,1840.37
119597,12.90,30.87,1270.35
119653,1.87,13.54,470.00
119669,5.98,26.53,712.16
119701,25.40,30.56,2153.07
119709,9.72,28.89,1025.40
119711,3.72,26.32,480.79
119754,8.79,30.71,885.32
119757,5.66,26.17,767.50
119774,1.66,17.20,333.19
119775,5.05,27.55,591.49
119776,3.54,18.55,628.50
119777,15.26,30.42,1310.47
119794,11.05,27.64,1245.80
119797,24.92,49.66,2141.18
119811,6.76,22.45,859.36
119830,5.92,25.88,680.00
119842,3.53,19.69,541.67
119861,7.32,29.66,847.60
119863,7.23,28.51,840.50
119877,2.91,26.18,413.50
119921,0.31,22.00,51.00
119923,6.61,31.79,740.71
119929,25.80,31.87,1994.64
119991,6.64,28.74,747.39
119992,6.15,19.93,841.95
119997,7.27,29.03,776.13
120014,5.33,24.32,687.40
120016,15.68,35.36,1314.89
120045,3.84,24.27,476.23
120073,3.80,23.63,525.45
120085,6.18,25.80,748.94
120101,8.58,26.02,1059.14
120108,8.69,23.64,1200.45
120135,10.56,32.11,957.42
120136,4.06,20.08,646.28
120149,4.29,24.29,617.03
120156,3.52,21.85,576.07
120170,7.07,29.66,802.19
120177,1.58,17.36,331.50
120182,8.96,31.69,891.23
120209,7.79,28.54,810.63
120223,7.15,33.43,759.33
120245,18.21,35.15,1289.80
120256,9.07,29.52,998.79
120313,3.61,17.83,728.00
120336,4.76,26.97,583.92
120388,24.48,43.93,2052.33
120394,9.68,40.20,784.00
120419,0.86,17.49,171.50
120448,11.64,27.45,1093.77
120464,5.96,24.13,866.23
120501,5.36,25.40,674.31
120505,13.53,26.82,1356.43
120506,6.48,29.56,660.67
120511,9.22,34.71,947.36
120513,32.59,37.82,2059.41
120517,3.83,19.61,574.56
120537,8.81,25.14,1069.67
120551,4.01,27.96,468.00
120555,6.70,27.50,701.85
120570,6.79,27.60,714.12
120581,1.46,16.97,294.33
120606,4.08,25.39,573.92
120619,6.73,25.11,798.85
120657,3.85,26.64,446.50
120664,8.62,28.78,1015.72
120678,3.90,26.44,527.92
120683,11.65,32.75,1288.75
120690,5.09,25.70,633.71
120743,3.33,21.69,514.50
120748,3.13,18.76,515.85
120792,5.43,25.23,545.46
120807,5.31,21.97,621.17
120820,1.00,15.57,249.50
120860,3.32,24.08,468.68
120875,21.80,43.10,1419.32
120958,5.54,21.61,942.25
120993,3.67,21.58,575.47
121133,13.08,32.86,1254.24
121181,5.03,27.62,577.36
121184,6.02,25.71,738.38
121221,2.50,20.77,405.82
121241,14.97,39.07,1199.42
121259,7.16,28.19,643.00
121278,3.88,21.93,608.23
121287,7.25,26.38,728.28
121290,3.03,21.10,463.00
121294,20.41,40.92,1377.69
121357,7.27,28.77,725.05
121362,2.01,19.34,361.31
121397,4.46,22.31,594.61
121421,7.88,27.76,892.03
121438,7.08,25.91,956.96
121447,5.39,17.81,1040.43
121480,6.48,23.46,1016.50
121501,4.50,26.78,527.12
121540,12.40,31.57,1342.92
121550,3.92,23.53,534.19
121552,4.59,23.80,652.82
121554,8.01,30.71,858.78
121557,7.29,28.61,654.00
121562,9.64,28.12,1233.00
121565,9.16,27.61,1115.04
121566,4.86,24.39,575.42
121580,3.40,20.87,450.38
121589,3.91,23.91,518.06
121688,5.27,32.08,553.80
121700,2.17,19.80,380.12
121780,7.67,28.27,865.47
121800,1.04,19.96,201.86
121861,2.38,21.52,386.12
121865,2.36,14.10,755.73
121878,11.62,33.26,974.00
121902,4.54,27.37,581.26
121950,7.30,27.99,681.87
121959,5.97,28.55,644.82
121983,9.68,30.30,1125.54
121990,20.50,35.43,1524.14
121997,5.34,27.32,648.63
122008,2.74,19.53,397.94
122018,2.70,14.57,697.00
122085,4.21,24.39,521.45
122086,5.04,24.26,646.27
122113,16.33,27.87,1128.33
122190,7.56,31.85,728.00
122227,10.21,29.16,841.61
122253,7.18,28.57,832.60
122318,6.98,27.95,719.29
122330,3.35,19.92,550.38
122457,34.19,47.08,2887.67
122480,5.87,28.70,621.57
122533,4.39,26.91,521.74
122548,7.30,29.20,747.83
122569,5.90,26.37,751.64
122585,2.40,19.46,413.89
122614,4.08,18.97,640.92
122688,4.31,22.94,619.42
122829,13.46,36.40,1300.00
122837,7.75,29.75,835.58
122946,5.16,27.07,622.46
123007,5.51,22.29,763.50
123021,4.47,20.02,607.00
904666,10.39,27.00,1079.43
904693,9.24,22.93,946.10
904738,1.77,19.53,335.91
904746,1.06,16.34,244.56
904749,9.96,25.82,1009.54
904838,4.64,22.26,664.05
904851,5.19,22.06,829.53
904918,13.97,35.20,1174.50
905080,5.04,17.50,1190.37
905089,11.28,26.88,1085.63
905107,5.17,21.46,818.20
905111,6.64,20.92,895.00
905132,4.40,19.27,711.72
905197,14.76,31.67,1440.71
905283,3.28,20.94,475.81
905328,4.92,19.87,825.94
905368,12.66,38.40,1005.13
905447,9.21,34.40,821.68
905533,8.70,27.47,1252.18
905557,8.70,28.85,925.51
905592,10.43,25.67,1386.28
905708,3.24,17.72,636.83
905714,9.47,25.30,1311.71
905759,9.49,22.71,1118.27
905898,5.11,24.00,677.82
906092,8.59,25.72,1027.70
906218,6.97,22.99,879.83
906383,13.07,29.94,4453.30
906468,6.27,23.88,879.14
906472,4.88,19.07,761.89
906523,6.29,23.22,752.03
906802,5.65,22.04,717.02
907122,11.88,31.15,1333.71
907135,2.21,15.90,413.89
907138,4.24,20.35,719.94
907178,6.79,33.80,754.67
907195,6.27,25.16,782.61
907199,8.86,26.19,1035.50
907287,7.32,26.91,788.02
907363,13.49,27.76,1689.97
907523,6.00,30.71,489.00
907589,5.25,24.13,533.29
907698,35.53,24.61,2346.24
907946,6.12,26.62,791.80
908087,6.53,29.03,802.21
908088,7.37,31.62,788.83
908097,5.87,28.22,689.71
908374,8.57,26.19,1023.33
908477,8.54,32.43,921.89
908588,20.66,29.96,2298.55
908685,16.47,32.90,1471.21
908760,4.87,21.48,693.00
908941,7.20,26.71,1953.50
909090,7.05,27.44,761.29
909196,9.80,31.22,1021.50
909253,10.15,29.03,1497.81
909265,7.93,29.95,809.32
909312,7.75,35.39,814.93
909352,9.34,31.45,935.41
909464,5.68,20.26,846.88
909489,5.18,28.53,650.95
909629,5.31,20.85,600.83
909635,6.48,26.55,767.46
909733,4.83,25.15,550.19
909805,8.93,36.34,840.90
909847,6.11,26.01,764.03
909872,7.48,28.41,841.64
909967,4.02,25.75,536.00
909990,3.19,21.45,562.78
910009,4.64,21.58,796.86
910045,6.63,21.54,924.63
910316,3.25,11.99,880.50
910332,1.77,17.16,418.64
910376,2.61,18.43,455.67
910480,7.36,28.27,840.44
910662,7.10,24.05,975.73
910776,4.64,23.21,621.41
910878,6.38,30.97,610.60
911093,2.90,20.02,440.08
911155,3.72,21.93,524.29
911204,5.84,29.02,659.91
911310,18.53,39.47,1321.34
911461,7.27,26.81,922.41
911481,9.03,33.07,854.36
911484,12.04,33.20,1446.50
911522,35.43,37.50,2402.00
911652,3.67,19.49,494.74
912151,5.60,29.92,572.09
912316,5.56,20.34,872.28
912442,3.62,27.81,501.75
912472,6.66,29.94,654.35
912587,7.17,29.02,729.73
912628,1.39,19.29,291.92
912659,0.94,15.24,237.06
912693,6.03,23.29,586.88
912713,1.30,19.43,240.33
912747,5.93,24.83,534.37
912948,3.74,18.23,741.78
913000,4.09,15.90,1208.42
913103,5.69,22.45,761.43
913187,6.01,24.58,728.54
913195,3.32,21.15,652.14
913196,13.58,31.81,1323.42
913221,11.21,24.86,1821.00
913242,3.98,24.89,510.94
913293,10.24,41.88,880.00
913315,8.94,28.18,1909.45
913325,11.62,31.03,1739.00
913398,20.66,38.77,1855.09
913428,2.76,19.71,473.73
913442,12.87,32.33,1481.00
913460,8.54,28.48,1032.76
913509,8.38,26.65,1034.38
913557,4.25,22.18,666.81
913697,6.26,24.54,815.60
913868,6.60,26.25,836.63
913922,7.80,26.62,1044.57
913988,5.56,28.28,688.47
914007,13.28,28.48,1810.46
914176,6.14,27.49,809.43
914319,3.06,20.92,458.06
914367,5.54,24.38,651.47
914478,2.05,22.19,309.56
914743,1.05,17.25,201.83
914838,1.71,18.92,322.50
914844,3.88,18.49,457.12
914928,5.39,24.70,702.10
914981,5.60,24.53,766.67
915079,7.71,29.45,887.06
915094,7.40,25.74,926.29
915148,6.19,26.99,695.01
915262,6.52,29.07,774.00
915307,4.17,21.89,711.67
915326,6.06,24.15,867.63
915349,8.80,32.86,829.71
915395,8.16,28.48,804.50
915483,7.93,26.47,1052.77
915512,14.99,39.79,1250.07
915629,4.34,25.35,614.29
915684,3.87,21.61,624.53
915716,6.92,27.99,854.20
915812,10.13,35.27,860.82
915842,8.01,30.13,940.25
915915,7.83,26.90,869.78
916003,6.60,27.40,681.54
916107,8.30,28.64,943.83
916164,15.07,28.55,1101.86
916267,11.02,25.19,1100.31
916467,2.14,16.58,459.63
916705,7.85,32.33,774.46
916709,1.57,27.24,192.67
916730,37.88,32.74,2709.90
916790,1.58,19.23,295.12
916949,10.89,38.27,987.00
917051,13.00,26.14,1138.46
917219,15.13,23.45,1633.38
917233,3.37,21.23,530.53
917294,6.60,27.03,880.18
917436,2.22,16.10,490.74
917789,5.01,23.87,736.67
917794,7.12,28.57,800.02
917882,5.25,24.43,690.45
918042,3.14,21.91,390.22
918099,15.68,28.89,1369.87
918198,9.76,40.66,724.63
918220,1.49,18.03,288.94
918269,2.13,15.35,452.80
918315,2.21,19.20,440.43
918368,2.85,19.93,462.79
918376,13.31,28.54,1537.10
918563,7.00,27.41,845.81
918656,1.33,13.29,375.33
918829,3.16,20.33,511.38
918948,6.35,23.85,775.00
918978,3.59,20.21,610.29
919125,4.48,24.33,500.82
919261,10.94,35.20,1036.87
919364,9.03,27.82,922.11
919506,4.81,23.29,520.31
919515,5.63,26.28,690.31
919643,11.09,31.80,1045.70
919812,3.32,24.53,453.69
919814,6.46,26.78,745.68
920072,11.02,29.13,1078.83
920274,16.72,40.58,1283.88
920437,2.91,18.86,521.60
920459,9.47,29.64,931.44
920492,5.54,24.77,657.67
920662,7.33,19.81,1185.90
920896,4.49,23.36,550.51
920970,5.57,22.61,834.92
921009,8.51,25.31,941.46
921013,5.96,20.22,999.83
921130,8.77,33.23,971.06
921139,3.49,23.46,494.32
921296,9.42,34.11,909.60
921316,4.93,25.30,584.58
921325,8.17,27.20,770.13
921372,9.95,30.29,929.33
921728,5.03,22.25,657.21
921780,4.34,22.33,599.83
921808,4.69,25.91,558.52
921838,12.01,36.01,964.02
921885,9.71,29.90,981.37
922022,2.14,18.06,424.07
922030,8.22,26.15,1043.05
922165,6.68,26.62,882.75
922252,7.93,25.69,972.73
922341,5.92,27.03,691.59
922422,2.41,18.40,407.78
922480,6.13,21.62,758.33
922497,3.68,20.01,622.33
922523,5.41,24.41,693.50
922612,8.33,31.41,891.22
922618,3.29,21.01,454.89
922631,1.11,13.13,307.90
922721,1.86,18.09,362.56
923094,17.95,30.48,1419.73
923235,4.60,24.01,552.19
923277,4.15,25.94,521.62
923280,3.95,21.54,520.27
923324,9.73,30.34,986.88
923406,10.78,33.68,976.45
923426,4.14,21.18,744.11
923536,4.43,23.94,619.26
923668,6.04,27.66,663.00
923780,6.81,27.05,747.94
923857,14.20,28.60,1269.48
923908,6.16,20.19,1402.00
923926,3.16,21.26,485.90
923984,16.83,39.98,1408.29
924395,2.47,19.27,463.30
924608,1.04,14.57,263.25
924672,2.97,25.95,386.62
924697,4.72,26.10,567.86
924852,10.21,32.57,932.67
924927,4.09,24.00,530.19
924929,4.06,23.16,628.00
924951,17.40,36.39,1274.20
924964,10.59,32.12,1068.67
924979,10.84,32.95,1005.07
925035,13.41,27.05,1133.75
925040,5.85,27.34,685.09
925307,6.70,26.90,966.31
925392,20.05,33.14,2141.29
925440,6.01,28.50,713.25
925470,8.35,30.86,870.29
925483,4.06,24.37,583.00
925532,4.89,23.21,766.75
925681,6.08,31.36,644.92
925884,6.42,24.21,830.43
925902,8.21,30.33,854.85
925997,3.34,21.10,605.22
926213,5.84,25.16,620.25
926294,2.25,18.83,372.57
926378,4.85,24.96,702.18
926471,9.26,29.85,932.00
926485,3.10,17.24,608.00
926526,4.63,21.61,717.80
926629,7.11,28.85,784.27
926673,1.16,13.27,325.67
926764,10.16,29.23,1045.07
926830,6.82,25.54,772.40
926860,6.84,26.01,840.59
926882,5.63,26.30,611.80
927007,8.05,30.45,870.79
927016,3.75,28.36,417.88
927093,7.52,28.83,849.07
927099,3.14,18.19,663.81
927305,4.19,22.47,566.41
927418,2.42,24.79,321.57
927505,8.17,26.00,921.32
927550,5.58,27.32,590.00
927575,15.02,26.05,1445.67
927655,5.35,20.66,747.95
927757,9.54,32.59,842.54
927762,10.08,30.33,964.30
927860,3.58,22.10,508.26
927883,7.81,33.58,738.35
927896,11.89,39.55,1082.00
928031,25.08,35.68,1961.56
928260,2.78,18.66,461.50
928437,11.56,31.61,1143.81
928695,4.37,18.67,637.14
928696,1.97,16.02,442.08
928931,22.29,34.24,1733.86
929207,19.16,34.29,1408.00
929229,26.61,38.05,1817.00
929290,12.64,33.08,1284.57
929429,10.20,27.38,1250.11
929642,2.48,17.17,498.92
929770,13.23,31.77,1278.63
929776,4.02,26.01,518.21
929883,7.68,26.30,879.48
929971,3.45,21.51,485.03
929985,11.07,22.34,1213.00
930023,1.69,13.82,441.33
930126,4.74,21.38,632.92
930300,9.77,26.96,1000.95
930570,0.72,11.00,236.00
930984,9.10,35.74,835.00
931220,7.23,27.77,914.00
931452,2.39,22.81,343.42
931584,5.70,28.28,634.20
931617,16.01,31.12,1451.08
932216,3.36,18.09,556.40
932406,2.18,17.92,416.73
932534,1.13,14.59,324.14
932635,6.52,25.36,878.18
932708,23.55,38.92,1453.86
932805,11.16,29.94,1174.83
932958,4.38,24.63,568.71
933155,9.15,27.11,1379.36
933183,2.52,21.39,432.11
933336,7.79,25.72,1059.43
933514,4.60,28.05,560.13
933609,2.39,18.13,606.00
933740,11.36,32.41,1144.40
933866,2.74,17.29,518.73
933915,1.91,15.69,463.92
933991,5.94,19.98,821.27
934319,9.12,27.36,961.00
934346,3.91,20.87,722.54
934389,0.92,8.63,381.56
934461,3.27,17.55,574.19
934471,12.55,30.72,1213.63
934536,11.50,29.61,937.82
934633,11.28,33.21,1099.41
934635,13.84,38.76,1124.24
934721,7.64,27.46,982.29
934779,6.02,21.35,907.25
934868,9.23,24.37,954.49
935039,10.81,28.28,1158.48
935056,12.10,27.94,1290.60
935065,9.34,27.49,1624.50
935219,3.05,18.10,613.97
935333,4.66,22.08,655.67
935665,14.02,30.87,1330.19
935723,3.14,18.78,595.24
935793,6.53,27.07,771.84
935911,5.90,29.21,640.42
937142,3.05,20.30,599.00
937798,4.68,24.34,592.76
937977,3.20,19.05,538.00
938110,3.45,22.19,487.30
938131,3.01,21.73,363.00
938230,2.16,15.75,417.50
938817,0.53,3.02,611.00
938874,8.09,26.61,969.60
939028,14.30,31.12,1135.37
939772,7.47,29.03,742.04
940305,2.77,18.22,467.44
940324,3.17,20.59,546.84
940877,7.81,27.64,786.35
940886,10.78,31.82,909.73
941285,4.18,25.42,457.93
941598,3.40,26.31,468.72
942083,12.11,21.30,889.18
942133,6.00,24.94,922.00
942144,1.72,15.75,430.94
942464,4.25,24.11,497.87
942487,18.42,38.55,1628.00
942693,8.51,31.89,865.73
942849,0.13,3.12,155.00
942862,10.76,29.01,1350.69
943738,7.29,29.51,780.12
943828,1.70,11.05,643.33
943910,11.92,27.32,1288.67
943956,1.69,15.70,385.16
944018,4.43,22.81,684.28
944047,10.94,31.13,1144.16
944543,2.57,17.72,492.00
944770,2.01,17.53,380.33
944858,5.75,25.59,675.50
945009,4.36,17.74,545.44
945272,7.79,35.47,690.67
945293,1.74,18.10,395.88
945318,4.62,25.83,663.44
945355,3.78,20.40,484.68
945441,2.66,16.94,483.82
945525,8.44,28.37,920.11
945532,7.44,28.64,990.90
945568,14.58,28.00,1280.10
945628,4.93,25.32,565.12
945705,10.18,28.66,1191.78
945765,8.35,37.86,737.80
945826,7.16,26.74,911.27
946754,8.81,31.30,845.54
946804,6.66,25.96,851.47
947259,12.99,28.37,1190.44
947351,5.67,25.32,820.80
947395,5.79,26.24,719.36
947422,5.94,32.63,632.88
947561,6.99,25.63,1002.14
947708,7.77,27.01,801.36
948383,2.01,21.24,338.00
948838,4.50,24.03,642.19
949240,5.44,26.70,603.42
949308,9.07,27.53,989.64
949496,7.29,24.92,1000.38
949682,32.61,36.01,2181.38
951115,8.70,31.09,877.44
951127,8.75,27.61,990.13
951522,3.34,16.96,628.17
952089,2.04,13.41,542.52
952161,1.40,16.61,313.63
952628,2.67,21.05,422.71
952763,6.63,27.41,863.51
953472,5.52,25.58,759.09
953560,13.18,28.55,1230.93
953993,9.77,19.38,1142.12
954092,5.13,24.51,740.47
954323,2.36,19.73,300.60
954578,9.75,23.08,1093.82
954715,2.88,12.72,637.13
954805,5.79,23.22,854.00
954824,4.65,20.61,591.94
954909,7.93,24.81,909.12
955001,7.90,26.57,1064.70
955302,10.54,30.45,1084.59
955313,3.49,22.44,517.52
955432,5.53,22.90,850.38
955800,3.09,17.93,570.83
Grand Total,6.98,25.54,799.32
